text,emotion,clean_text
i feel fine read the rest,joy,feel fine read rest
i do not feel that i could ever harm an innocent girl in such a way never have i imagined such dire consequences for not doing so,joy,feel could ever harm innocent girl way never imagined dire consequence
i can t take medication because its triggering i have to be really at the point of i can t stand what i m feeling anymore just so i can get past that barrier but medicine has me afraid of vomiting,fear,take medication triggering really point stand feeling anymore get past barrier medicine afraid vomiting
for the loss of a close friend or relative,sadness,loss close friend relative
i am true to what i feel and have come to understand that i am not being faithful to the girl but rather to myself,love,true feel come understand faithful girl rather
i don t know what to do about it or how to do it almost feeling angry within myself that i can t do something tangible and pragmatic to help my sisters,anger,know almost feeling angry within something tangible pragmatic help sister
i just remember spending hours trying to bump my score above the mark and feeling frustrated by the questions they were a mixture of professor generated and usmleasy ones,anger,remember spending hour trying bump score mark feeling frustrated question mixture professor generated usmleasy one
ive been feeling really energetic at night and honestly i needed this,joy,ive feeling really energetic night honestly needed
i seem to see the five years after the chinese pavilion which is the content of the exhibition on immigration but to see the plateau province in this country is treated as one country so i feel very unhappy and i think this is a national tourist attraction they point then why not prudent,sadness,seem see five year chinese pavilion content exhibition immigration see plateau province country treated one country feel unhappy think national tourist attraction point prudent
i feel horrible most of the time,sadness,feel horrible time
ive gone for my k training or a swim then i feel energised and be productive like actually cleaning my room,joy,ive gone k training swim feel energised productive like actually cleaning room
i feel irritated that he either interrupts my quiet time or wakes me up,anger,feel irritated either interrupt quiet time wake
i feel like its about supporting something that you believe in,love,feel like supporting something believe
i feel smart and i want to show it off,joy,feel smart want show
i feel quite nervous and scared too x scared cos ill be taking the plane back to singapore on my own cos i cant stay as long as my two other friends have planned t,fear,feel quite nervous scared x scared co ill taking plane back singapore co cant stay long two friend planned
i couldnt help but feel a little out of place in our casual attire,joy,couldnt help feel little place casual attire
i simply can t help but feel dissatisfied after reading glancing through each,anger,simply help feel dissatisfied reading glancing
i cant wait till the summer when we feel somewhat carefree once again,joy,cant wait till summer feel somewhat carefree
i feel very passionate about this because of children reared within the evangelical church leave it before they are,joy,feel passionate child reared within evangelical church leave
i thought of that feeling of delicious isolation i feel when i am absorbed in a quest each revelation leading to questions then answers then more questions a cave came to mind at first lined with ancient and wisdom filled tomes a deep comfortable chair and large paper strewn table in the centre,joy,thought feeling delicious isolation feel absorbed quest revelation leading question answer question cave came mind first lined ancient wisdom filled tome deep comfortable chair large paper strewn table centre
i feel as defeated as i did today i wonder if im doing this parenting thing all wrong,sadness,feel defeated today wonder im parenting thing wrong
i began to feel unimportant misunderstood the odd one out,sadness,began feel unimportant misunderstood odd one
i feel listless and completely unmotivated to do anything but i will bake some almond poppy seed bread and make a pot of chicken noodle soup in an effort to be less than useless today,sadness,feel listless completely unmotivated anything bake almond poppy seed bread make pot chicken noodle soup effort less useless today
i feared i would feel resentful of her or this process but i dont and i am so happy about that,anger,feared would feel resentful process dont happy
i feel any artist that puts forth a piece of work even ones i do not agree with should be respected even if it s just for the sake of them overcoming the shackles of our society s norms,joy,feel artist put forth piece work even one agree respected even sake overcoming shackle society norm
i even picked out beautiful pearly looking snaps and is soft and comfy feels like caring for myself,love,even picked beautiful pearly looking snap soft comfy feel like caring
i tend to lose feel for the water pretty quickly when im not in the water every other day and i felt this during the race,joy,tend lose feel water pretty quickly im water every day felt race
i feel calm with her,joy,feel calm
i feel really pissed off justanswer,anger,feel really pissed justanswer
i feel like it s a boy i would be pretty shocked if it was so somewhere in there my gut or my brain is saying girl,surprise,feel like boy would pretty shocked somewhere gut brain saying girl
i guess a similar viewpoint might be when we feel smug or better than someone else,joy,guess similar viewpoint might feel smug better someone else
ive been feeling so jaded,sadness,ive feeling jaded
im actually feeling a little smug,joy,im actually feeling little smug
id feel better later in the school year,joy,id feel better later school year
i said feeling a little shaky as i stared at the ocean from which the goddess was rising not knowing why,fear,said feeling little shaky stared ocean goddess rising knowing
i were saying that we were feeling overwhelmed with our life right now,surprise,saying feeling overwhelmed life right
i am feeling very inadequate about how to share my feelings and of how to write this blog post but i am going to give it a go and hope that it makes sense,sadness,feeling inadequate share feeling write blog post going give go hope make sense
i already feel sleep deprived and short on time but if i really want to become a person that i can be proud of i need to start investing and stop paying the minimum amount on my credit card,sadness,already feel sleep deprived short time really want become person proud need start investing stop paying minimum amount credit card
i told him it is because asians are very considerate so whenever a person is not feeling well they would have the common courtesy to wear a mask to reduce risk of spreading it to people around us,joy,told asian considerate whenever person feeling well would common courtesy wear mask reduce risk spreading people around u
i feel completely agitated,anger,feel completely agitated
i just remember feeling so much pain and being confused and scared and convinced that i could not do this,fear,remember feeling much pain confused scared convinced could
i am feeling like painting tonight and simply being creative,joy,feeling like painting tonight simply creative
i never feel like i have it perfect sometimes i lean a little too heavy on the work which means more chaos at home and sometimes i lean a little too heavy on the home which means i get a little lonely and cranky,joy,never feel like perfect sometimes lean little heavy work mean chaos home sometimes lean little heavy home mean get little lonely cranky
i feel resigned right now,sadness,feel resigned right
i feel somewhat relieved but disappointed that of the two qualified venue i had questioned neither bothered to make the observations we did,joy,feel somewhat relieved disappointed two qualified venue questioned neither bothered make observation
i felt fine when we got there but after a short while i started feeling really funny,surprise,felt fine got short started feeling really funny
i feel like a bit of a turd that my body instantly rejected the lemonade,sadness,feel like bit turd body instantly rejected lemonade
i find myself feeling surprised and totally unworthy whenever i see her face,surprise,find feeling surprised totally unworthy whenever see face
i feel when you dont talk to me my friend so loyal and free i dont want it to stay like this i want to have that bliss,love,feel dont talk friend loyal free dont want stay like want bliss
i just want to warn you that im feeling rather delicate at the moment so dont expect too much from me,love,want warn im feeling rather delicate moment dont expect much
i will be thinking of each one of you i will be happy toast and feel my sincere huge magical group hug link rel stylesheet type text css href http jdelivery,joy,thinking one happy toast feel sincere huge magical group hug link rel stylesheet type text cs href http jdelivery
i realised how sick i was of working and feeling and being alone,sadness,realised sick working feeling alone
i thinks this chiefs ccw should be yanked by the state as i feel threatened,fear,think chief ccw yanked state feel threatened
i start to feel ugly unloved poor and unhappy,sadness,start feel ugly unloved poor unhappy
i feel about my mommy amp me friends our friendships grew so naturally the strength of them surprised me,surprise,feel mommy amp friend friendship grew naturally strength surprised
i have always wanted ice cream when i feel lousy,sadness,always wanted ice cream feel lousy
i feel that i have gotten to know the students pretty well and i talk to the parents if they drop their students off for the day,joy,feel gotten know student pretty well talk parent drop student day
i am feeling quite overwhelmed,surprise,feeling quite overwhelmed
i can feel the strokes getting harder and faster as i try in vain to find that release,sadness,feel stroke getting harder faster try vain find release
i am looking forward to getting baptized maybe but not until i feel devoted and broken in front of the lord,love,looking forward getting baptized maybe feel devoted broken front lord
ill be whingeing about how much i ache but at least i can feel slightly virtuous about it too,joy,ill whingeing much ache least feel slightly virtuous
i can begin to process the emotions i am also feeling from a pregnancy which would have been welcomed if it had been under different physical conditions but these thoughts are for my next blog,joy,begin process emotion also feeling pregnancy would welcomed different physical condition thought next blog
i feel relaxed at airports are the times the do occasionally occur when i have no luggage especially exceptional luggage,joy,feel relaxed airport time occasionally occur luggage especially exceptional luggage
i don t feel superior to people who have made different choices or threatened by them,joy,feel superior people made different choice threatened
i feel i am not that sociable enough thus for friends wise i guess i do not miss most of them,joy,feel sociable enough thus friend wise guess miss
i have a feeling i may be popular with the lady folk,joy,feeling may popular lady folk
i have no idea why am i feeling so aching when i am just thinking about it and the day have not come yet,sadness,idea feeling aching thinking day come yet
i feel that im in your heart and you know im worry and caring about you wherever you go unless im following you beside p i really like it when baby text me in sometime that i never thought u will,love,feel im heart know im worry caring wherever go unless im following beside p really like baby text sometime never thought u
i will feel triumphant,joy,feel triumphant
i feel like your child is worthless even though they passed the assessments better than anyone who applied with a college education,sadness,feel like child worthless even though passed assessment better anyone applied college education
i care very little about impressing people unless its a person who i feel deserves being impressed,surprise,care little impressing people unless person feel deserves impressed
i have a large parcel of time or am feeling reluctant to write i set our kitchen timer for minutes and write until the bell rings,fear,large parcel time feeling reluctant write set kitchen timer minute write bell ring
i looked around and once again was disappointed that so little had shown up this evening but apparently this was my day to feel selfish,anger,looked around disappointed little shown evening apparently day feel selfish
i feel like i am doomed for the rest of my life,sadness,feel like doomed rest life
i feel if you re learning about your purpose and the workings of this universe and continue to evolve and transcend you will be productive and such along the journey,joy,feel learning purpose working universe continue evolve transcend productive along journey
i have been so busy i feel like i have free time at home,joy,busy feel like free time home
i am made to feel useless,sadness,made feel useless
i feel to you or dad because dad is pissed about the dishes and will in turn belittle the way i feel to simply me being a spoiled little bitch who doesn t do jack around the house,anger,feel dad dad pissed dish turn belittle way feel simply spoiled little bitch jack around house
i like to do it makes me feel very out of control and since i went through a stage of not caring about my diabetes and not checking my levels i don t really want to feel like that again,love,like make feel control since went stage caring diabetes checking level really want feel like
i feel unhappy it is no help for me that other persons say that i am happy how much truth there may be in it,sadness,feel unhappy help person say happy much truth may
i feel so numb that i wonder whether im still human,sadness,feel numb wonder whether im still human
i feel like someone s strange uncle trying to break the ice at a party by showing this amazing talent thinking that guests will be impressed but in turn just made everything a hundred times more awkward,fear,feel like someone strange uncle trying break ice party showing amazing talent thinking guest impressed turn made everything hundred time awkward
i feel like it s going to be something shockingly amazing,joy,feel like going something shockingly amazing
i read her novels to make me feel relaxed,joy,read novel make feel relaxed
i feel like shes just so distracted but when it comes to my year old brother she waits on him hand and foot,anger,feel like shes distracted come year old brother wait hand foot
i feel reluctant to share because my experiences feel incomplete especially now that my ideas are making a shift,fear,feel reluctant share experience feel incomplete especially idea making shift
i feel totally exhausted and over tired,sadness,feel totally exhausted tired
i want to stop feeling so worthless,sadness,want stop feeling worthless
i hope that by telling them ill find out more about who i am how i got to this place in time and not feel so lost and alone,sadness,hope telling ill find got place time feel lost alone
i feel a bit more loving energy inside connecting with you,love,feel bit loving energy inside connecting
im feeling a little bit melancholy tonight,sadness,im feeling little bit melancholy tonight
i feel like it must be a popular choice to have alterations done elsewhere,joy,feel like must popular choice alteration done elsewhere
im feeling really shaken up today my stomach hurts ibleeditout i ran into some friends and kodi has been a complete brat,fear,im feeling really shaken today stomach hurt ibleeditout ran friend kodi complete brat
i feel for the natives who welcomed me and others with open arms and hearts back then and wonder how they cope,joy,feel native welcomed others open arm heart back wonder cope
i feel as if she isnt faithful but i dont have a reason to should approach her or just wait until i have a reason to approach her,joy,feel isnt faithful dont reason approach wait reason approach
i feel so horrible that you had to go through all that just because you grew up a little earlier than your friends,sadness,feel horrible go grew little earlier friend
i feel so useless to her because the help i want to give her is the kind she doesnt believe in and doesnt want,sadness,feel useless help want give kind doesnt believe doesnt want
i feel so jakun that amused me for whole minutes,joy,feel jakun amused whole minute
i am feeling less than glam at the moment to be reminded of our lovely nuptials last summer,love,feeling less glam moment reminded lovely nuptials last summer
i feel in my heart and how much im hurt,sadness,feel heart much im hurt
i feel like life is too good to be true,joy,feel like life good true
i would take days that i would feel low tuck them away and ignore it rather than sitting in it like i had learned to do in the past to get through these moments,sadness,would take day would feel low tuck away ignore rather sitting like learned past get moment
i hate struggling to enjoy life but at the same time i feel guilty when i do,sadness,hate struggling enjoy life time feel guilty
i used feel frustrated all the time,anger,used feel frustrated time
i knew i needed to get over there but had been dragging my feet a combo of feeling intimidated by the language barrier and the kids nap schedules,fear,knew needed get dragging foot combo feeling intimidated language barrier kid nap schedule
i was feeling beaten up by life yesterday you see i am in love with a schizofrenic man who i had to kick out of my house for having boisterous fights with himself,sadness,feeling beaten life yesterday see love schizofrenic man kick house boisterous fight
i was feeling very overwhelmed about what i was going to do about removing things from the house i am selling in maryland,fear,feeling overwhelmed going removing thing house selling maryland
i began to feel less anxious,fear,began feel less anxious
i feel some super shifting some super circles,joy,feel super shifting super circle
i started feeling reluctant to go because i wanted to spend some time with my family before i left,fear,started feeling reluctant go wanted spend time family left
i feel so unimportant which im probably am,sadness,feel unimportant im probably
i need to remember something feel like it and not be distracted simultaneously before it happens,anger,need remember something feel like distracted simultaneously happens
i feel that we are often at the forefront of what soon becomes popular,joy,feel often forefront soon becomes popular
im still feeling quite lively,joy,im still feeling quite lively
i quite like to do it standing on public transport or busy places when you often feel your space being invaded which can make you feel stressed,sadness,quite like standing public transport busy place often feel space invaded make feel stressed
i could feel safe enough doing so,joy,could feel safe enough
i wake up feeling triumphant,joy,wake feeling triumphant
i feel very apprehensive,fear,feel apprehensive
i feel is hostile kinship or mounting nausea did you know that back means the binding itself,anger,feel hostile kinship mounting nausea know back mean binding
i feel like im being punished if i have to sit facing the wall,sadness,feel like im punished sit facing wall
i feel grouchy now the football fans have woken me up from the customary sunday siesta,anger,feel grouchy football fan woken customary sunday siesta
i feel blessed to see darn good talent right here,love,feel blessed see darn good talent right
i am starting to feel a bit disheartened with my progress on my physical tbr there are still boxes of books next to my bed and they are not going away as fast as i want them to,sadness,starting feel bit disheartened progress physical tbr still box book next bed going away fast want
im not always able capture the essence of the way i see the world in writing i feel that my weird way of thinking has been generally consistent throughout my short years,fear,im always able capture essence way see world writing feel weird way thinking generally consistent throughout short year
i feel so uptight around my family,fear,feel uptight around family
ive been feeling very intimidated and overwhelmed by the workload this semester and so ive just been avoiding doing what i need to,fear,ive feeling intimidated overwhelmed workload semester ive avoiding need
i have noticed improvement is in the gabapentin and last nights dose of zonisamide which left me feeling very relaxed,joy,noticed improvement gabapentin last night dose zonisamide left feeling relaxed
i feel especially passionate about,love,feel especially passionate
i am worried that you might feel pressured or obligated that wasnt my intention and i am sensitive to your situation,fear,worried might feel pressured obligated wasnt intention sensitive situation
i just feel too stubborn to give up on a dream,anger,feel stubborn give dream
i started to feel super emotional all the time which was so strange,joy,started feel super emotional time strange
i feel the need to be distracted,anger,feel need distracted
im supposed to stay in the lively room but as an explorer i feel that the lively room simply does not have enuff to offer me and have decided to move on to the stairs bedrooms and baffroom,joy,im supposed stay lively room explorer feel lively room simply enuff offer decided move stair bedroom baffroom
ive been at home for almost a week now from the hospital though and i feel the need to divulge info to devoted readers who have felt starved for my stylings,love,ive home almost week hospital though feel need divulge info devoted reader felt starved stylings
i woke up at around am or am the next day crunched at the bed because i was feeling a terrible headache so painful i was awaken from my sleep,sadness,woke around next day crunched bed feeling terrible headache painful awaken sleep
i feel amused and kind of tired still in the morning i,joy,feel amused kind tired still morning
i don t understand why musicians sometimes feel inhibited,fear,understand musician sometimes feel inhibited
i feel shy of my broken english,fear,feel shy broken english
i forgot to take it yesterday so this morning i took two i feel super sick now,joy,forgot take yesterday morning took two feel super sick
i really loved the day which made me feel such gratitude that we were having such a wonderful day which made me feel very happy,joy,really loved day made feel gratitude wonderful day made feel happy
i feel so regretful not going but,sadness,feel regretful going
i would feel the speech is successful if its very uplifting and gives props to the graduating class,joy,would feel speech successful uplifting give prop graduating class
i feel super glued to my bed,joy,feel super glued bed
i have a bunch of ideas but at the same time i feel intimidated because i am just a freshman and apparently know nothing about anything,fear,bunch idea time feel intimidated freshman apparently know nothing anything
i feel irritated and helpless,anger,feel irritated helpless
i walked away from them feeling discouraged about how technology seems to have replaced relationships in so many ways lately and what did i do,sadness,walked away feeling discouraged technology seems replaced relationship many way lately
i could feel this way but i honestly believe that he was and is a very violent and dangerous man,anger,could feel way honestly believe violent dangerous man
i am feeling a bit unsure about some of these im going to give it a try anyway,fear,feeling bit unsure im going give try anyway
i was feeling productive,joy,feeling productive
i mean think about how that would feel that would be stupid embarrassing,sadness,mean think would feel would stupid embarrassing
im excited and i feel like this is a project that i can be passionate about and totally immerse myself in,love,im excited feel like project passionate totally immerse
i experienced that feeling that people get when they are charmed or attracted to someone and that time was enough and a blessing in itself for me,joy,experienced feeling people get charmed attracted someone time enough blessing
ive definitely been feeling low this past week because ive been sick ever since bfd but im determined to get my health back,sadness,ive definitely feeling low past week ive sick ever since bfd im determined get health back
i cant seem to command it a feeling im sure anyone can relate to,joy,cant seem command feeling im sure anyone relate
im strictly on coke and jo still feeling a tad delicate after last nights bucket of doom anaesthetic,love,im strictly coke jo still feeling tad delicate last night bucket doom anaesthetic
i walked away feeling a little dismayed but ive got a mission to carry out now,sadness,walked away feeling little dismayed ive got mission carry
i am feeling terrific at the moment,joy,feeling terrific moment
i feel i must apologise as i was a little giggly tonight and received a raised eyebrow from a sensible member of the youth orchestra,joy,feel must apologise little giggly tonight received raised eyebrow sensible member youth orchestra
im feeling more stressed,sadness,im feeling stressed
i feel so hated and useless sometimes i even ask myself why havent i killed myself yet,anger,feel hated useless sometimes even ask havent killed yet
i want to feel affectionate,love,want feel affectionate
i am feeling a little adventurous so i will try to see if we can spook our pretty lady,joy,feeling little adventurous try see spook pretty lady
when they changed my office to another room without my agreement,anger,changed office another room without agreement
i feel sorry for the rest of us in second life who understand that without more support for first time users our world will continue on its slow death spiral,sadness,feel sorry rest u second life understand without support first time user world continue slow death spiral
i do feel amused by all the different debates going on but on the other hand i felt that theres something missing,joy,feel amused different debate going hand felt there something missing
i really think each and every person can begin to sympathise with bernards character on which ever level this might be just because its part of being human to experience self doubt and feel worthless and ultimately unnecessary without purpose,sadness,really think every person begin sympathise bernard character ever level might part human experience self doubt feel worthless ultimately unnecessary without purpose
i feel honored that you accept my invitation,joy,feel honored accept invitation
i feel like i am in ludicrous speed,sadness,feel like ludicrous speed
i often feel the need to defend just about anything even in casual conversation like blue s from the color code are usually christmas fanatics and i jump in and,joy,often feel need defend anything even casual conversation like blue color code usually christmas fanatic jump
i forgot to feel sentimental about my line being pulled,sadness,forgot feel sentimental line pulled
i love sunshine havent had much but the feeling of it on my shoulders as i walk around the yard is amazing,surprise,love sunshine havent much feeling shoulder walk around yard amazing
i prayed for love for the people that i was feeling bitter towards and that they would find what was best for them,anger,prayed love people feeling bitter towards would find best
i feel so pretty and glamorous,joy,feel pretty glamorous
i asked feeling smug,joy,asked feeling smug
ive ever worked on and i feel very privileged to work with such an amazing team,joy,ive ever worked feel privileged work amazing team
i feel i am beyond pissed off disappointed frustrated with myself,anger,feel beyond pissed disappointed frustrated
i feel left alone,sadness,feel left alone
i ain t shot a bitch since this morning so i m feelin a little gun horny,love,shot bitch since morning feelin little gun horny
i feel lonely i remember my moms saying,sadness,feel lonely remember mom saying
i didnt cry but i was starting to feel neurotic so my sister who was amazingly chill that morning brought me an ativan,fear,didnt cry starting feel neurotic sister amazingly chill morning brought ativan
i can t make myself feel joyful but i can focus on the positive,joy,make feel joyful focus positive
i do feel a little needy,sadness,feel little needy
i feel as the author is very passionate about his poem because when he wrote his poem he wrote from his feeling and history,joy,feel author passionate poem wrote poem wrote feeling history
i instead feel restless,fear,instead feel restless
i also feel proud of her,joy,also feel proud
i suppose thats wonderful because it means that they can learn so much so quickly and also make me feel like an idiot much the way i did to my parents when they couldnt figure out how to leave an outgoing message on the answering machine,joy,suppose thats wonderful mean learn much quickly also make feel like idiot much way parent couldnt figure leave outgoing message answering machine
i asked feeling slightly wimpy,fear,asked feeling slightly wimpy
i had for me to confess my feelings for her but still i couldnt bring myself to her for i was scared of losing her once more,fear,confess feeling still couldnt bring scared losing
i know its the lot of the dumpee to feel slighted jealous unable to move on depressed angry and a whole bunch of other negative emotions that stem from the whole rejection and sometimes replacement involved in the break up process,anger,know lot dumpee feel slighted jealous unable move depressed angry whole bunch negative emotion stem whole rejection sometimes replacement involved break process
i feel lonely so unbearably crushingly lonely you are not the only one a href http creativeliar,sadness,feel lonely unbearably crushingly lonely one href http creativeliar
i feel about putting on brave faces fuck that let s get real,joy,feel putting brave face fuck let get real
i was thinking about how you all were watching general conference and i was feeling a bit jealous,anger,thinking watching general conference feeling bit jealous
i know and i feel that its time to wake up to be brave to change my perspective,joy,know feel time wake brave change perspective
i shall have to stay feeling neglectful of all things art related,sadness,shall stay feeling neglectful thing art related
i also find that during those times when i feel victimized by his loss i dont feel him near me at all,sadness,also find time feel victimized loss dont feel near
i feel like everything i do i will make a mistake and i will be punished,sadness,feel like everything make mistake punished
i mean i already did of course but i feel more glamourous naked now,joy,mean already course feel glamourous naked
i feel decently intelligent,joy,feel decently intelligent
i dont want to pretend i am someone and i am not because i dont feel comfortable,joy,dont want pretend someone dont feel comfortable
i cherished and enjoyed i didn t have many friends in college and she was my first real friend that made me feel like i was accepted,love,cherished enjoyed many friend college first real friend made feel like accepted
i want to be positive in the morning i will need to convince my subconscious into believing i am feeling terrific,joy,want positive morning need convince subconscious believing feeling terrific
i feel helpless at the same time wherein practically no other option than to just sit and watch the drama,fear,feel helpless time wherein practically option sit watch drama
i kind of struggled with it though and didnt feel like it was super powerful,joy,kind struggled though didnt feel like super powerful
i woke up this morning feeling like the unfortunate drain cover that a href http www,sadness,woke morning feeling like unfortunate drain cover href http www
i just havent been taking much action in my life rather leaving it at status quo probably not a good idea but i feel that things exist at such a delicate balance that i am afraid if i lunge for what i want the whole thing will crumble and i will be worse off than before,love,havent taking much action life rather leaving status quo probably good idea feel thing exist delicate balance afraid lunge want whole thing crumble worse
i finally realized that all i needed was to be and feel useful and blogging allowed me to do that,joy,finally realized needed feel useful blogging allowed
i go on these walks with my mother in the evenings i feel this frantic anxious energy from her as if shes losing her daughter and doesnt know how to win her back,fear,go walk mother evening feel frantic anxious energy shes losing daughter doesnt know win back
i should feel awful about the nonexistence of gods,sadness,feel awful nonexistence god
i have been sneakily listen to x mas music since the beginning of october but now i feel as if it is a little more socially acceptable to prance around while eartha kitt s version of santa baby blares from my ipod,joy,sneakily listen x ma music since beginning october feel little socially acceptable prance around eartha kitt version santa baby blare ipod
i miss them like crazy every time i think about them i feel a sense of melancholy a fervent yearning to see them to be by their side to know how they are doing,sadness,miss like crazy every time think feel sense melancholy fervent yearning see side know
i feel a little overwhelmed,fear,feel little overwhelmed
i feel that were like sweet couple,love,feel like sweet couple
i am yelling at my kids at the drop of a hat for no reason possess no energy to do anything just feeling irritable and sad about everything,anger,yelling kid drop hat reason possess energy anything feeling irritable sad everything
i feel like ive been kinda listless,sadness,feel like ive kinda listless
i finished checking in bruce had already left and yiling was just leaving so i don t feel i had a chance to properly thank them for being so considerate and making sure we got settled in,joy,finished checking bruce already left yiling leaving feel chance properly thank considerate making sure got settled
i did feel for her but honestly i was just too glad to have some kind of salvation from the merciless sun,joy,feel honestly glad kind salvation merciless sun
i feel lethargic and do not really look forward to anything or take joy in anything and i kinda felt like that last night,sadness,feel lethargic really look forward anything take joy anything kinda felt like last night
i didn t sleep well the night before and am not feeling half as brave as i was yesterday,joy,sleep well night feeling half brave yesterday
i think about it with the anticipation i was feeling yesterday its kind of a miracle that i didnt like fake an injury or something just to be able to go to the hospital to see them,sadness,think anticipation feeling yesterday kind miracle didnt like fake injury something able go hospital see
i also feel that the people in the village friendly and i do not need to be as alert as in manila though as the common sense rule still stays that is not to let your guard down,joy,also feel people village friendly need alert manila though common sense rule still stay let guard
i walk in the door to my house i feel happy,joy,walk door house feel happy
i feel very deprived i feel like i did so many things right amp so many things just went wrong,sadness,feel deprived feel like many thing right amp many thing went wrong
i also feel useless and unfulfilled,sadness,also feel useless unfulfilled
i am left feeling happy about having the time to rest and take care of me but at the same time this huge sense of guilt builds up inside of me for not having respected our date for being an unreliable teacher a selfish friend,joy,left feeling happy time rest take care time huge sense guilt build inside respected date unreliable teacher selfish friend
i feel much better and without the help of ice,joy,feel much better without help ice
i was just not feeling up to it for a few reasons but i am so glad to be back,joy,feeling reason glad back
i have to admit that while the story itself was interesting in their portrayal of the well known biblical story i came away feeling a little disappointed with the end result especially considering the names involved,sadness,admit story interesting portrayal well known biblical story came away feeling little disappointed end result especially considering name involved
i was feeling super pressed for time the other day i did cut back on the amount of time i meditated but i didn t skip it altogether,joy,feeling super pressed time day cut back amount time meditated skip altogether
i reflect back on all the beer i drank i feel shamed,sadness,reflect back beer drank feel shamed
i am not feeling shitty about life anymore,sadness,feeling shitty life anymore
i feel when ever i listen to the msm main stream media deprived,sadness,feel ever listen msm main stream medium deprived
i feel everything is in control then i am ok,joy,feel everything control ok
i sent her was pretty long and now i feel a little embarrassed looking back at the letter i gave her,sadness,sent pretty long feel little embarrassed looking back letter gave
i am feeling especially lively,joy,feeling especially lively
i have lost touch with the things that i feel passionate about i am getting less spontaneous am living by lists urgh,joy,lost touch thing feel passionate getting less spontaneous living list urgh
i feel very distressed because i m supportive of this campaign and with the senator jackson told cnn,fear,feel distressed supportive campaign senator jackson told cnn
i know that i shouldnt have run around with his dirty socks on a stick like a flag for our friends to see no matter how angry or hurt i was feeling about the dirty laundry that he left me,sadness,know shouldnt run around dirty sock stick like flag friend see matter angry hurt feeling dirty laundry left
i feel shitty because she quit a job to come here but there is only so much hand holding and training that i am willing to do,sadness,feel shitty quit job come much hand holding training willing
i manage to reach a conclusion after all my musings i feel somehow more resolved,joy,manage reach conclusion musing feel somehow resolved
i dont have to buy it in tubs which feels vile,anger,dont buy tub feel vile
i feel like a divorcee we were together so long and our separation was so messy,sadness,feel like divorcee together long separation messy
i always tell people my brd armor sucks since i totally feel it does so i was amazed to see some of the crap some brds wear,surprise,always tell people brd armor suck since totally feel amazed see crap brds wear
im already feeling nostalgic about the san antonio spurs golden state warriors series and it hasnt even ended yet,love,im already feeling nostalgic san antonio spur golden state warrior series hasnt even ended yet
i personally feel they are doomed to finish dead last in the nl central without this key cog to any championship team,sadness,personally feel doomed finish dead last nl central without key cog championship team
i thought this is precisely why i m making the show because i feel very uncertain in the world,fear,thought precisely making show feel uncertain world
i remember feeling bowled over and surprised by my own reaction at the tears welling up,surprise,remember feeling bowled surprised reaction tear welling
i have been a procrastinator i have endless potential and passion inside yet im stuck in the cage of my own soul the unresolved feelings hurt resentment that i hold inside has built up even do i try to build myself back up again,sadness,procrastinator endless potential passion inside yet im stuck cage soul unresolved feeling hurt resentment hold inside built even try build back
ive been feeling vaguely dissatisfied with reel pros since i signed up a few weeks ago,anger,ive feeling vaguely dissatisfied reel pro since signed week ago
im feeling particularly generous,joy,im feeling particularly generous
i went on to the holiday party that evening courtesy of another journalism sibling whom i call my big bro feeling a little unsure on why i was really attending,fear,went holiday party evening courtesy another journalism sibling call big bro feeling little unsure really attending
i feel like this could be a dangerous topic if anyone feels passionately about pianos but its been on my mind for a while and i thought it was worth discussing not because im going to paint my piano which i grew up with so please stop hyperventilating mom,anger,feel like could dangerous topic anyone feel passionately piano mind thought worth discussing im going paint piano grew please stop hyperventilating mom
i really only get inspired to write on this blog when im feeling shitty about life and i guess september being my birth month and all was pretty great,sadness,really get inspired write blog im feeling shitty life guess september birth month pretty great
i feel like being selfish and keeping this foodie secret myself but why would i deny everyone else,anger,feel like selfish keeping foodie secret would deny everyone else
im not feeling too joyful about writing this blog because id rather be knitting,joy,im feeling joyful writing blog id rather knitting
i am responsible for picking a man who on occasion reminds me of people from my past like my mom and i threaten myself i can break this pattern by conducting myself in a different way even when i feel scared because deep down i know he s a good man,fear,responsible picking man occasion reminds people past like mom threaten break pattern conducting different way even feel scared deep know good man
i am right now i feel amused the sounds i hear are my aircleaner around me i see my bed and my cat i feel most connected to this person michael i think it s weird that im a mom,joy,right feel amused sound hear aircleaner around see bed cat feel connected person michael think weird im mom
i feel so contented so fulfilled,joy,feel contented fulfilled
ive somehow had a few epiphanies and toned down the need for validation its still a work in progress but i feel less need to be liked by people who dont deserve the attention,love,ive somehow epiphany toned need validation still work progress feel less need liked people dont deserve attention
i didn t feel relieved,joy,feel relieved
i hate feeling dumb i hate people who make me feel dumb or like i am being a baby,sadness,hate feeling dumb hate people make feel dumb like baby
i know that i should feel some sort of melancholy but i don t,sadness,know feel sort melancholy
i would feel so excited waiting for the mailman to come to our house handing me these letters,joy,would feel excited waiting mailman come house handing letter
i read in the book called the mindful woman that every so often throughout your day you should stop and close your eyes and think about anything that you can hear or see or smell or feel its kind of a cool experiment,joy,read book called mindful woman every often throughout day stop close eye think anything hear see smell feel kind cool experiment
i feel so paranoid i don t want to feel like i did back then ever again,fear,feel paranoid want feel like back ever
